[0:23:39] (PlayerName:Kane_Sanders | UserName:LasDos) :f lkher
[0:23:50] (PlayerName:Kane_Sanders | UserName:LasDos) :f nn
[0:25:6] (PlayerName:Kane_Sanders | UserName:LasDos) :f tle3 bzez mn rbha
[0:25:31] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:26:52] (PlayerName:Kane_Sanders | UserName:LasDos) :f hez
[0:26:57] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:27:23] (PlayerName:Kane_Sanders | UserName:LasDos) :f ana 3arf fin
[0:27:31] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:27:52] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:28:0] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:28:23] (PlayerName:Kane_Sanders | UserName:LasDos) :f dnya kdor bia
[0:28:38] (PlayerName:Kane_Sanders | UserName:LasDos) :f alcohol kiched blassa
[0:28:57] (PlayerName:Kane_Sanders | UserName:LasDos) :f AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[0:29:2] (PlayerName:Kane_Sanders | UserName:LasDos) :f AAAAAAAAAAAAA I CRINGE
[0:29:6] (PlayerName:Kane_Sanders | UserName:LasDos) :f WDNIIIIIIIIIIIIIII
[0:29:9] (PlayerName:Kane_Sanders | UserName:LasDos) :f STOP
[0:29:10] (PlayerName:Kane_Sanders | UserName:LasDos) :f STOP
[0:29:14] (PlayerName:Kane_Sanders | UserName:LasDos) :f CRINGE
[0:29:18] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:29:29] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:29:42] (PlayerName:Fred_Vargas | UserName:ExFIBO) :Me kijbed Sla7 Mn Mor Dhro
[0:29:53] (PlayerName:Kane_Sanders | UserName:LasDos) :f ya laytani konto barwita
[0:30:12] (PlayerName:Kane_Sanders | UserName:LasDos) :f ya laytani konto barwita
[0:30:26] (PlayerName:Kane_Sanders | UserName:LasDos) :f a777777 had song
[0:30:29] (PlayerName:Kane_Sanders | UserName:LasDos) :f SHEEEEEEEEEEEESH
[0:31:4] (PlayerName:Kane_Sanders | UserName:LasDos) :f i am your hero and i am not made of stone
[0:31:16] (PlayerName:Kane_Sanders | UserName:LasDos) :f
[0:31:20] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:31:33] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:31:36] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:31:42] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:31:43] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:31:43] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:31:44] (PlayerName:Kane_Sanders | UserName:LasDos) :f van 3mrat
[0:31:45] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:31:52] (PlayerName:Kane_Sanders | UserName:LasDos) :f van 3mrat
[0:32:16] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:32:30] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:32:32] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:32:34] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:32:34] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:32:35] (PlayerName:ELMOU_FF | UserName:ELMOU) :admin
[0:33:10] (PlayerName:ELMOU_FF | UserName:ELMOU) :apps
[0:33:26] (PlayerName:MONGRAL_STRAFT | UserName:salahla) :setwalk 121
[0:33:54] (PlayerName:Kane_Sanders | UserName:LasDos) :f dyl khona
[0:34:0] (PlayerName:Kane_Sanders | UserName:LasDos) :f si
[0:34:2] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
