[0:2:56] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:2:56] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:2:56] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:2:56] (PlayerName:Sam_Teller | UserName:Attali) :duty
[0:3:0] (PlayerName:Sam_Teller | UserName:Attali) :duty
[0:3:0] (PlayerName:Tony_Accardo | UserName:Yassir980) :status
[0:3:7] (PlayerName:Sam_Teller | UserName:Attali) :duty
[0:3:7] (PlayerName:Jeffry_Cross | UserName:ASPRO) :wait
[0:3:9] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:3:11] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:3:12] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:3:14] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :pm
[0:3:16] (PlayerName:Denver_Morata | UserName:denver) :gov medic phone ( 691752  )
[0:3:19] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :backup
[0:3:19] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :gate
[0:3:19] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :smoke
[0:3:25] (PlayerName:Orlando_Mancini | UserName:nex) :stopanim
[0:3:25] (PlayerName:Orlando_Mancini | UserName:nex) :animstop
[0:3:26] (PlayerName:Jeffry_Cross | UserName:ASPRO) :wait
[0:3:28] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :pm  2 slm
[0:3:34] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :Pm
[0:3:34] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:3:35] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :Pm
[0:3:39] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :gmp
[0:3:41] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :gmp
[0:3:42] (PlayerName:Denver_Morata | UserName:denver) :call 511
[0:3:55] (PlayerName:Denver_Morata | UserName:denver) :gate
[0:3:55] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:3:58] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :bat
[0:4:3] (PlayerName:NOUR_TCH | UserName:SFRODY) :wait
[0:4:4] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:4:4] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:4:8] (PlayerName:Denver_Morata | UserName:denver) :gate
[0:4:31] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:4:37] (PlayerName:NOUR_TCH | UserName:SFRODY) :status AFK 
[0:4:48] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:4:56] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:5:1] (PlayerName:Denver_Morata | UserName:denver) :cpr
[0:5:4] (PlayerName:Sam_Teller | UserName:Attali) :cpr
[0:5:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:5:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:5:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:5:18] (PlayerName:Denver_Morata | UserName:denver) :cpr
[0:5:26] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:5:26] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:5:28] (PlayerName:Denver_Morata | UserName:denver) :cpr
[0:5:32] (PlayerName:Kane_Sanders | UserName:LasDos) :ri 2
[0:5:40] (PlayerName:Kane_Sanders | UserName:LasDos) :ri 1
[0:5:42] (PlayerName:Denver_Morata | UserName:denver) :cpr
[0:5:45] (PlayerName:Denver_Morata | UserName:denver) :mrevive 35
[0:5:50] (PlayerName:Orlando_Mancini | UserName:nex) :restartres scr_rbs
[0:6:1] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:6:1] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:6:1] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:6:10] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:6:12] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Talk On radio
[0:6:18] (PlayerName:Kane_Sanders | UserName:LasDos) :gduty
[0:6:18] (PlayerName:Kane_Sanders | UserName:LasDos) :gduty
[0:6:32] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:6:33] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :f Hrp ghanb9a myt 7ta  n trevayva ra tma bat sbk
[0:6:53] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:7:3] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:7:5] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:7:12] (PlayerName:Denver_Morata | UserName:denver) :pay 4 200
[0:7:23] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:25] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:34] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:7:44] (PlayerName:Jeffry_Cross | UserName:ASPRO) :id Fades_Moore
[0:7:47] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f wait
[0:7:52] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:52] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:52] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:54] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:59] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:7:59] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:8:1] (PlayerName:NOUR_TCH | UserName:SFRODY) :wait
[0:8:1] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:8:7] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:8:9] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:8:27] (PlayerName:Orlando_Mancini | UserName:nex) :revive 10
[0:8:51] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f safy nwdk
[0:8:52] (PlayerName:Kane_Sanders | UserName:LasDos) :ri 3
[0:9:3] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:9:4] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:9:4] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:9:4] (PlayerName:David_Tornado | UserName:molsaka) :home
[0:9:6] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:9:6] (PlayerName:David_Tornado | UserName:molsaka) :home
[0:9:15] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:9:39] (PlayerName:Jester_Gomez | UserName:ladoss) :moto
[0:9:42] (PlayerName:Jester_Gomez | UserName:ladoss) :moto
[0:9:58] (PlayerName:Jeffry_Cross | UserName:ASPRO) :DPAS
[0:9:58] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :backup
[0:9:58] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :gate
[0:9:58] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :smoke
[0:9:58] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :f thx
[0:10:1] (PlayerName:Jeffry_Cross | UserName:ASPRO) :daps
[0:10:3] (PlayerName:Jester_Gomez | UserName:ladoss) :kichouf jibo
[0:10:3] (PlayerName:Jester_Gomez | UserName:ladoss) :me kichouf jibo
[0:10:6] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:7] (PlayerName:NOUR_TCH | UserName:SFRODY) :fp
[0:10:7] (PlayerName:Jester_Gomez | UserName:ladoss) :kichouf jibo
[0:10:7] (PlayerName:Jester_Gomez | UserName:ladoss) :me kichouf jibo
[0:10:7] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:8] (PlayerName:Tony_Accardo | UserName:Yassir980) :Turned On / Off The Engine
[0:10:8] (PlayerName:Tony_Accardo | UserName:Yassir980) :throwaway
[0:10:8] (PlayerName:Tony_Accardo | UserName:Yassir980) :belt
[0:10:11] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :friends
[0:10:12] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:12] (PlayerName:Orlando_Mancini | UserName:nex) :copleft
[0:10:12] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :friends
[0:10:14] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:16] (PlayerName:Orlando_Mancini | UserName:nex) :stopanim
[0:10:16] (PlayerName:Orlando_Mancini | UserName:nex) :animstop
[0:10:20] (PlayerName:Tony_Accardo | UserName:Yassir980) :Turned On / Off The Engine
[0:10:21] (PlayerName:Jeffry_Cross | UserName:ASPRO) :handshake
[0:10:25] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:10:28] (PlayerName:Jester_Gomez | UserName:ladoss) :lean
[0:10:31] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:10:31] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:10:33] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me kichm seed
[0:10:35] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:10:35] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:10:40] (PlayerName:Jeffry_Cross | UserName:ASPRO) :wait
[0:10:40] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :f ghan3s f 7anotk a OG, hanya ?
[0:10:42] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:10:42] (PlayerName:Sam_Teller | UserName:Attali) :aim*
