[0:2:3] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me kayt33wej chwia f mchyto
[0:2:5] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace ls 36
[0:2:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:2:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:2:11] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 30
[0:2:13] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace ls 36
[0:2:18] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:2:20] (PlayerName:Moza_Diaz | UserName:moza) :seefar 500
[0:2:22] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:2:23] (PlayerName:Moza_Diaz | UserName:moza) :seefar 22500
[0:2:27] (PlayerName:Moza_Diaz | UserName:moza) :seefar 20000
[0:2:29] (PlayerName:Mosatafa_Apatchi | UserName:MOSTAFA) :/aim
[0:2:35] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:2:35] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:2:36] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 11
[0:2:39] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Bator_Gaviria
[0:2:41] (PlayerName:Eric_Geostrica | UserName:CHLH) :is wa dwi fast
[0:2:48] (PlayerName:Flawless_Spelman | UserName:flawless) :carchat
[0:2:51] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:2:52] (PlayerName:Daniel_Miller | UserName:Khaled) :clearchat
[0:2:52] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:2:55] (PlayerName:Tommy_Hazard | UserName:MrKarim) :stopanim
[0:2:57] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :fp
[0:2:58] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:3:0] (PlayerName:Tommy_Hazard | UserName:MrKarim) :stopanim
[0:3:0] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:3:1] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:3:2] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:3:2] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:3:2] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:3:3] (PlayerName:Bator_Gaviria | UserName:mohamedali) :er
[0:3:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:3:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:3:9] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:3:14] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
[0:3:15] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
[0:3:17] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:3:17] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:3:18] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:3:18] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:3:22] (PlayerName:Daniel_Miller | UserName:Khaled) :f sellproperty
[0:3:27] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:3:27] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:3:30] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
[0:3:30] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
[0:3:41] (PlayerName:Orlando_Mancini | UserName:nex) :crack
[0:3:43] (PlayerName:Carlos_Miller | UserName:ayoubbnm) :sellproperty
[0:3:43] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:3:43] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:3:49] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:3:49] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:3:51] (PlayerName:Orland_Anderson | UserName:9wi9iza) :reconect
[0:3:53] (PlayerName:Conor_Clover | UserName:REXdoom77) :me kay3awno bach ynod
[0:3:54] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 30
[0:3:57] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh 199
[0:3:59] (PlayerName:Orlando_Mancini | UserName:nex) :stopanim
[0:3:59] (PlayerName:Orlando_Mancini | UserName:nex) :animstop
[0:4:2] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:4:4] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:4:4] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:4:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:4:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:4:11] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh 199
[0:4:13] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :fp
[0:4:13] (PlayerName:Yone_Fizi | UserName:shanki1z) :dive
[0:4:14] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:4:15] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh 199
[0:4:23] (PlayerName:Yone_Fizi | UserName:shanki1z) :cover
[0:4:25] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh 199
[0:4:27] (PlayerName:Joe_Miller | UserName:badr) :me kandir smta
[0:4:28] (PlayerName:Conor_Clover | UserName:REXdoom77) :me kaydir lih lmenout
[0:4:31] (PlayerName:Moza_Diaz | UserName:moza) :graffiti
[0:4:31] (PlayerName:Scott_Lopez | UserName:haytamix) :places
[0:4:34] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:4:34] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:4:35] (PlayerName:Yone_Fizi | UserName:shanki1z) :cover
[0:4:46] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 11
[0:4:48] (PlayerName:Joe_Miller | UserName:badr) :setvol 8
[0:4:48] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:4:52] (PlayerName:Yone_Fizi | UserName:shanki1z) :dive
[0:4:53] (PlayerName:Scott_Lopez | UserName:haytamix) :is revive
[0:4:55] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:4:57] (PlayerName:Scott_Lopez | UserName:haytamix) :is te7t f interior
[0:5:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :dive
[0:5:1] (PlayerName:Conor_Clover | UserName:REXdoom77) :me kaydir lih smta
[0:5:2] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:5:3] (PlayerName:Scott_Lopez | UserName:haytamix) :is recon yla xkito hh
[0:5:6] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :note Motor : faggio 2003 Owner : mohamed roubal
[0:5:6] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:5:8] (PlayerName:Eric_Geostrica | UserName:CHLH) :check 3
[0:5:9] (PlayerName:Yone_Fizi | UserName:shanki1z) :cover
[0:5:9] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:5:10] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :note Motor : faggio 2003 Owner : mohamed roubal
[0:5:11] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:5:11] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:5:16] (PlayerName:Bator_Gaviria | UserName:mohamedali) :seefar 250
[0:5:16] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :writenote
[0:5:19] (PlayerName:Yone_Fizi | UserName:shanki1z) :lay 2
[0:5:23] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:5:23] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:5:25] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:5:34] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:5:40] (PlayerName:Eric_Geostrica | UserName:CHLH) :aduty
[0:5:42] (PlayerName:Michael_Montana | UserName:Mezrari) :fixveh Michael_Montana
[0:5:42] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:5:46] (PlayerName:Scott_Lopez | UserName:haytamix) :is wahyata xi revive
[0:5:48] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 20
[0:5:51] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:5:51] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:5:52] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :writenote  Motor : faggio 2003 Owner : Mhamed roubal Puissance : 49cc Permis : Non
[0:5:52] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:5:56] (PlayerName:Scott_Lopez | UserName:haytamix) :staffs
[0:5:57] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:5:57] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:6:6] (PlayerName:Yone_Fizi | UserName:shanki1z) :lay 2
[0:6:8] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoveh 199
[0:6:9] (PlayerName:Yone_Fizi | UserName:shanki1z) :lay 2
[0:6:12] (PlayerName:Mhamed_Roubal | UserName:simo1michcou) :ame writes a note on a piece of paper.
[0:6:21] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:6:21] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:6:21] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:6:21] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:6:29] (PlayerName:Orland_Anderson | UserName:9wi9iza) :f fink 
[0:6:30] (PlayerName:Orland_Anderson | UserName:9wi9iza) :f ng
[0:6:37] (PlayerName:Conor_Clover | UserName:REXdoom77) :me kaydir lih smta
[0:6:41] (PlayerName:Conor_Clover | UserName:REXdoom77) :backup
[0:6:44] (PlayerName:William_Sdog | UserName:aminelmerda) :backup
[0:6:45] (PlayerName:Yone_Fizi | UserName:shanki1z) :f ana hdake
[0:6:57] (PlayerName:Michael_Montana | UserName:Mezrari) :f aji aji
[0:6:59] (PlayerName:Josef_Descender | UserName:N1CHO) :f  mafihach lfrach
[0:7:2] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :writenote Carte grise
[0:7:4] (PlayerName:William_Sdog | UserName:aminelmerda) :gate
[0:7:4] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 30
[0:7:7] (PlayerName:Michael_Montana | UserName:Mezrari) :f waghir 7itach view
[0:7:7] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
[0:7:9] (PlayerName:Antoine_Miller | UserName:ilyaslol) :friends
