[0:0:1] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:0:5] (PlayerName:Antoine_Miller | UserName:ilyaslol) :f ok
[0:0:9] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:0:19] (PlayerName:Padre_Rodriguez | UserName:Edward) :lay
[0:0:26] (PlayerName:Alex_simon | UserName:zakariamabrouk) :quickreply i
[0:0:26] (PlayerName:Mark_Walker | UserName:haytemsniper) :apps
[0:0:41] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:0:41] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:0:44] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:0:44] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:0:45] (PlayerName:Josef_Descender | UserName:N1CHO) :pay  8 1000
[0:0:49] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:0:51] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:0:55] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:0:56] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:0:58] (PlayerName:Orland_Anderson | UserName:9wi9iza) :pay 2 300
[0:0:58] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:1:3] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:7] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:7] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:7] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:1:7] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:1:9] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:1:11] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:11] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:12] (PlayerName:Tommy_Diaz | UserName:FADEL) :me kanchuf jibi
[0:1:12] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:1:20] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:20] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:22] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:24] (PlayerName:Leon_Miller | UserName:laarbi12) :cleaarchat
[0:1:24] (PlayerName:Leon_Miller | UserName:laarbi12) :clearchat
[0:1:28] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:28] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:30] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:1:31] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:1:33] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:33] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:37] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:1:37] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:1:47] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:48] (PlayerName:Mark_Walker | UserName:haytemsniper) :quickreply jjjj
[0:1:49] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:2:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:2:1] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:2:4] (PlayerName:Yone_Fizi | UserName:shanki1z) :dive
[0:2:5] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:2:7] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:2:8] (PlayerName:Orlando_Mancini | UserName:nex) :me ki jbd frdi mn smta lor
[0:2:11] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:2:17] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:2:17] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:2:24] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:2:25] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:2:28] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:2:42] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:2:42] (PlayerName:Orland_Anderson | UserName:9wi9iza) :pay 18 31
[0:2:43] (PlayerName:Leon_Miller | UserName:laarbi12) :f t3tlti a antoine fin wslti
[0:2:44] (PlayerName:Leon_Miller | UserName:laarbi12) :f t3tlti a antoine fin wslti
[0:2:51] (PlayerName:Leon_Miller | UserName:laarbi12) :cleaarchat
[0:2:51] (PlayerName:Leon_Miller | UserName:laarbi12) :clearchat
[0:2:52] (PlayerName:Padre_Rodriguez | UserName:Edward) :kiss 9
[0:2:57] (PlayerName:Antoine_Miller | UserName:ilyaslol) :f ana jay lblasa lcraft
[0:3:0] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:3:6] (PlayerName:Leon_Miller | UserName:laarbi12) :f okey
[0:3:7] (PlayerName:Leon_Miller | UserName:laarbi12) :f okey
[0:3:9] (PlayerName:Leon_Miller | UserName:laarbi12) :cleaarchat
[0:3:9] (PlayerName:Leon_Miller | UserName:laarbi12) :clearchat
[0:3:12] (PlayerName:Padre_Rodriguez | UserName:Edward) :idle
[0:3:14] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:3:17] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:3:18] (PlayerName:Mark_Walker | UserName:haytemsniper) :fish
[0:3:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:3:22] (PlayerName:Tommy_Diaz | UserName:FADEL) :gsign 4
[0:3:27] (PlayerName:Tommy_Diaz | UserName:FADEL) :IDLE
